Algorithm,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,TotalVMs,SuccessRate
HO,Micro,0.3171,0.2303,980.00,0.1296,10,100.00
HO,Small,0.6025,0.4602,2310.00,61.0387,50,100.00
HO,Medium,0.6217,0.4737,4620.00,1.1231,100,100.00
FirstFit,Micro,0.3930,0.2766,980.00,0.0549,10,100.00
FirstFit,Small,0.7522,0.5653,2310.00,0.5870,50,100.00
FirstFit,Medium,0.7357,0.5622,4620.00,1.1194,100,100.00
GA,Micro,0.4178,0.2891,980.00,0.0575,10,100.00
GA,Small,0.7520,0.5652,2310.00,0.5885,50,100.00
GA,Medium,0.7361,0.5625,4620.00,1.1145,100,100.00
