Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
GA,Small,8,0.7541,0.5672,2310.00,0,0.62,18,50,50,2025-09-03T17:12:19.729274
GA,Small,9,0.7532,0.5594,2310.00,0,0.63,14,50,50,2025-09-03T17:12:20.4758256
HO,Medium,0,0.7147,0.5367,4620.00,0,1.18,101,100,100,2025-09-03T17:12:24.7967752
HO,Medium,1,0.7197,0.5555,4620.00,0,1.16,101,100,100,2025-09-03T17:12:26.0770239
HO,Medium,2,0.6821,0.5291,4620.00,0,1.15,78,100,100,2025-09-03T17:12:27.3292057
HO,Medium,3,0.6945,0.5359,4620.00,0,1.13,47,100,100,2025-09-03T17:12:28.5775515
HO,Medium,4,0.7186,0.5561,4620.00,0,1.20,101,100,100,2025-09-03T17:12:29.8929727
HO,Medium,5,0.7234,0.5477,4620.00,0,1.18,101,100,100,2025-09-03T17:12:31.192287
HO,Medium,6,0.7105,0.5344,4620.00,0,1.15,42,100,100,2025-09-03T17:12:32.4584672
HO,Medium,7,0.7087,0.5492,4620.00,0,1.16,101,100,100,2025-09-03T17:12:33.7200126
HO,Medium,8,0.6784,0.5339,4620.00,0,1.14,41,100,100,2025-09-03T17:12:34.9608715
HO,Medium,9,0.7099,0.5453,4620.00,0,1.18,101,100,100,2025-09-03T17:12:36.2439105
FirstFit,Medium,0,0.7328,0.5563,4620.00,0,1.15,1,100,100,2025-09-03T17:12:37.5094026
FirstFit,Medium,1,0.7328,0.5563,4620.00,0,1.17,1,100,100,2025-09-03T17:12:38.7916578
FirstFit,Medium,2,0.7412,0.5742,4620.00,0,1.13,1,100,100,2025-09-03T17:12:40.0382639
FirstFit,Medium,3,0.7358,0.5750,4620.00,0,1.11,1,100,100,2025-09-03T17:12:41.2535249
FirstFit,Medium,4,0.7403,0.5688,4620.00,0,1.15,1,100,100,2025-09-03T17:12:42.5121658
FirstFit,Medium,5,0.7417,0.5602,4620.00,0,1.14,1,100,100,2025-09-03T17:12:43.7600571
FirstFit,Medium,6,0.7287,0.5430,4620.00,0,1.15,1,100,100,2025-09-03T17:12:45.0255096
FirstFit,Medium,7,0.7315,0.5617,4620.00,0,1.13,1,100,100,2025-09-03T17:12:46.272591
FirstFit,Medium,8,0.7256,0.5570,4620.00,0,1.14,1,100,100,2025-09-03T17:12:47.5237153
FirstFit,Medium,9,0.7468,0.5695,4620.00,0,1.13,1,100,100,2025-09-03T17:12:48.7647005
GA,Medium,0,0.7328,0.5563,4620.00,0,1.13,14,100,100,2025-09-03T17:12:50.0088549
GA,Medium,1,0.7328,0.5563,4620.00,0,1.12,23,100,100,2025-09-03T17:12:51.2394064
GA,Medium,2,0.7411,0.5742,4620.00,0,1.16,14,100,100,2025-09-03T17:12:52.5102749
GA,Medium,3,0.7358,0.5750,4620.00,0,1.16,17,100,100,2025-09-03T17:12:53.7767209
GA,Medium,4,0.7403,0.5688,4620.00,0,1.13,18,100,100,2025-09-03T17:12:55.0257665
GA,Medium,5,0.7417,0.5602,4620.00,0,1.14,24,100,100,2025-09-03T17:12:56.2776348
GA,Medium,6,0.7317,0.5461,4620.00,0,1.16,15,100,100,2025-09-03T17:12:57.5459707
GA,Medium,7,0.7315,0.5617,4620.00,0,1.14,18,100,100,2025-09-03T17:12:58.7923122
GA,Medium,8,0.7268,0.5570,4620.00,0,1.13,21,100,100,2025-09-03T17:13:00.0430464
GA,Medium,9,0.7468,0.5695,4620.00,0,1.14,29,100,100,2025-09-03T17:13:01.2940866
