Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
GA,Small,8,0.7541,0.5672,2310.00,50,0.58,18,50,50,2025-08-30T20:10:28.0787676
GA,Small,9,0.7532,0.5594,2310.00,50,0.58,10,50,50,2025-08-30T20:10:28.7675434
HO,Medium,0,0.6877,0.5328,4620.00,0,601.43,101,97,97,2025-08-30T20:20:34.272469
HO,Medium,1,0.7165,0.5523,4620.00,0,601.75,101,98,98,2025-08-30T20:30:36.1430069
HO,Medium,2,0.6959,0.5469,4620.00,0,601.23,101,97,97,2025-08-30T20:40:37.5010335
HO,Medium,3,0.6657,0.5188,4620.00,0,601.47,30,97,97,2025-08-30T20:50:39.0882216
HO,Medium,4,0.7061,0.5469,4620.00,0,601.27,101,96,96,2025-08-30T21:00:40.4970982
HO,Medium,5,0.7025,0.5320,4620.00,0,605.92,101,97,97,2025-08-30T21:10:46.5375227
HO,Medium,6,0.6989,0.5203,4620.00,0,601.53,30,97,97,2025-08-30T21:20:48.1754091
HO,Medium,7,0.6958,0.5279,4620.00,100,1.12,101,100,100,2025-08-30T21:20:49.4103657
HO,Medium,8,0.7058,0.5477,4620.00,0,601.40,101,97,97,2025-08-30T21:30:50.9284614
HO,Medium,9,0.7166,0.5445,4620.00,100,1.11,101,100,100,2025-08-30T21:30:52.1583251
FirstFit,Medium,0,0.7328,0.5563,4620.00,100,1.13,1,100,100,2025-08-30T21:30:53.3970026
FirstFit,Medium,1,0.7328,0.5563,4620.00,100,1.09,1,100,100,2025-08-30T21:30:54.5972645
FirstFit,Medium,2,0.7412,0.5742,4620.00,100,1.11,1,100,100,2025-08-30T21:30:55.8120929
FirstFit,Medium,3,0.7358,0.5750,4620.00,100,1.13,1,100,100,2025-08-30T21:30:57.0472032
FirstFit,Medium,4,0.7403,0.5688,4620.00,100,1.09,1,100,100,2025-08-30T21:30:58.244244
FirstFit,Medium,5,0.7417,0.5602,4620.00,100,1.12,1,100,100,2025-08-30T21:30:59.4745874
FirstFit,Medium,6,0.7287,0.5430,4620.00,100,1.12,1,100,100,2025-08-30T21:31:00.7098016
FirstFit,Medium,7,0.7315,0.5617,4620.00,100,1.13,1,100,100,2025-08-30T21:31:01.9466117
FirstFit,Medium,8,0.7256,0.5570,4620.00,100,1.09,1,100,100,2025-08-30T21:31:03.1421128
FirstFit,Medium,9,0.7468,0.5695,4620.00,100,1.11,1,100,100,2025-08-30T21:31:04.3658758
GA,Medium,0,0.7328,0.5563,4620.00,100,1.11,20,100,100,2025-08-30T21:31:05.5897299
GA,Medium,1,0.7328,0.5563,4620.00,100,1.12,26,100,100,2025-08-30T21:31:06.8167601
GA,Medium,2,0.7411,0.5742,4620.00,100,1.11,12,100,100,2025-08-30T21:31:08.0423099
GA,Medium,3,0.7358,0.5750,4620.00,100,1.11,29,100,100,2025-08-30T21:31:09.2651803
GA,Medium,4,0.7403,0.5688,4620.00,100,1.12,14,100,100,2025-08-30T21:31:10.4994297
GA,Medium,5,0.7417,0.5602,4620.00,100,1.09,25,100,100,2025-08-30T21:31:11.699757
GA,Medium,6,0.7317,0.5461,4620.00,100,1.09,15,100,100,2025-08-30T21:31:12.8968058
GA,Medium,7,0.7315,0.5617,4620.00,100,1.09,20,100,100,2025-08-30T21:31:14.0934624
GA,Medium,8,0.7268,0.5570,4620.00,100,1.11,14,100,100,2025-08-30T21:31:15.3121593
GA,Medium,9,0.7468,0.5695,4620.00,100,1.13,19,100,100,2025-08-30T21:31:16.5575782
