Algorithm,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,TotalVMs,SuccessRate
HO,Micro,0.3430,0.2438,980.00,0.0215,10,100.00
HO,Small,0.6990,0.5237,2310.00,120.6919,50,100.00
HO,Medium,0.7073,0.5421,4620.00,1.0477,100,100.00
FirstFit,Micro,0.3930,0.2766,980.00,0.0039,10,100.00
FirstFit,Small,0.7522,0.5653,2310.00,0.5062,50,100.00
FirstFit,Medium,0.7357,0.5622,4620.00,1.0077,100,100.00
GA,Micro,0.4178,0.2891,980.00,0.0033,10,100.00
GA,Small,0.7520,0.5652,2310.00,0.5074,50,100.00
GA,Medium,0.7361,0.5625,4620.00,1.0116,100,100.00
