Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
GA,Small,8,0.7541,0.5672,2310.00,0,0.58,13,50,50,2025-09-11T17:50:34.9390367
GA,Small,9,0.7532,0.5594,2310.00,0,0.60,28,50,50,2025-09-11T17:50:35.6416974
HO,Medium,0,0.6254,0.4758,4620.00,0,1.13,101,100,100,2025-09-11T17:50:40.0081078
HO,Medium,1,0.5969,0.4589,4620.00,0,1.13,98,100,100,2025-09-11T17:50:41.2412103
HO,Medium,2,0.6673,0.5198,4620.00,0,1.13,101,100,100,2025-09-11T17:50:42.4902285
HO,Medium,3,0.6076,0.4689,4620.00,0,1.13,101,100,100,2025-09-11T17:50:43.7374008
HO,Medium,4,0.5873,0.4448,4620.00,0,1.12,101,100,100,2025-09-11T17:50:44.9581398
HO,Medium,5,0.6820,0.5002,4620.00,0,1.13,75,100,100,2025-09-11T17:50:46.1931211
HO,Medium,6,0.5656,0.4259,4620.00,0,1.13,92,100,100,2025-09-11T17:50:47.42835
HO,Medium,7,0.6346,0.4813,4620.00,0,1.12,61,100,100,2025-09-11T17:50:48.6542254
HO,Medium,8,0.6174,0.4758,4620.00,0,1.13,79,100,100,2025-09-11T17:50:49.8895119
HO,Medium,9,0.6329,0.4862,4620.00,0,1.10,89,100,100,2025-09-11T17:50:51.0993274
FirstFit,Medium,0,0.7328,0.5563,4620.00,0,1.11,1,100,100,2025-09-11T17:50:52.3214822
FirstFit,Medium,1,0.7328,0.5563,4620.00,0,1.13,1,100,100,2025-09-11T17:50:53.5566864
FirstFit,Medium,2,0.7412,0.5742,4620.00,0,1.11,1,100,100,2025-09-11T17:50:54.7817709
FirstFit,Medium,3,0.7358,0.5750,4620.00,0,1.12,1,100,100,2025-09-11T17:50:56.0213988
FirstFit,Medium,4,0.7403,0.5688,4620.00,0,1.11,1,100,100,2025-09-11T17:50:57.2554368
FirstFit,Medium,5,0.7417,0.5602,4620.00,0,1.13,1,100,100,2025-09-11T17:50:58.4891945
FirstFit,Medium,6,0.7287,0.5430,4620.00,0,1.13,1,100,100,2025-09-11T17:50:59.739802
FirstFit,Medium,7,0.7315,0.5617,4620.00,0,1.12,1,100,100,2025-09-11T17:51:00.9709288
FirstFit,Medium,8,0.7256,0.5570,4620.00,0,1.12,1,100,100,2025-09-11T17:51:02.1985161
FirstFit,Medium,9,0.7468,0.5695,4620.00,0,1.11,1,100,100,2025-09-11T17:51:03.4210781
GA,Medium,0,0.7328,0.5563,4620.00,0,1.11,13,100,100,2025-09-11T17:51:04.6378536
GA,Medium,1,0.7328,0.5563,4620.00,0,1.11,23,100,100,2025-09-11T17:51:05.8646736
GA,Medium,2,0.7411,0.5742,4620.00,0,1.13,15,100,100,2025-09-11T17:51:07.1050838
GA,Medium,3,0.7358,0.5750,4620.00,0,1.12,28,100,100,2025-09-11T17:51:08.3360419
GA,Medium,4,0.7403,0.5688,4620.00,0,1.11,29,100,100,2025-09-11T17:51:09.5533729
GA,Medium,5,0.7417,0.5602,4620.00,0,1.13,26,100,100,2025-09-11T17:51:10.7987842
GA,Medium,6,0.7317,0.5461,4620.00,0,1.12,23,100,100,2025-09-11T17:51:12.022631
GA,Medium,7,0.7315,0.5617,4620.00,0,1.12,20,100,100,2025-09-11T17:51:13.2542032
GA,Medium,8,0.7268,0.5570,4620.00,0,1.10,10,100,100,2025-09-11T17:51:14.4639203
GA,Medium,9,0.7468,0.5695,4620.00,0,1.10,25,100,100,2025-09-11T17:51:15.6829958
