Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
GA,Small,8,0.7541,0.5672,2310.00,0,0.63,10,50,50,2025-09-12T16:36:39.5476973
GA,Small,9,0.7532,0.5594,2310.00,0,0.63,17,50,50,2025-09-12T16:36:40.2814385
HO,Medium,0,0.6222,0.4771,4620.00,0,1.13,101,100,100,2025-09-12T16:36:44.5987736
HO,Medium,1,0.6051,0.4677,4620.00,0,1.13,98,100,100,2025-09-12T16:36:45.8475493
HO,Medium,2,0.6673,0.5198,4620.00,0,1.13,101,100,100,2025-09-12T16:36:47.0892263
HO,Medium,3,0.6076,0.4689,4620.00,0,1.13,101,100,100,2025-09-12T16:36:48.33081
HO,Medium,4,0.6158,0.4621,4620.00,0,1.12,101,100,100,2025-09-12T16:36:49.5588646
HO,Medium,5,0.6742,0.5038,4620.00,0,1.11,75,100,100,2025-09-12T16:36:50.7733011
HO,Medium,6,0.5542,0.4086,4620.00,0,1.13,92,100,100,2025-09-12T16:36:52.0141639
HO,Medium,7,0.6346,0.4813,4620.00,0,1.12,61,100,100,2025-09-12T16:36:53.2476839
HO,Medium,8,0.6174,0.4758,4620.00,0,1.13,79,100,100,2025-09-12T16:36:54.4974846
HO,Medium,9,0.6500,0.4859,4620.00,0,1.15,101,100,100,2025-09-12T16:36:55.7514713
FirstFit,Medium,0,0.7328,0.5563,4620.00,0,1.15,1,100,100,2025-09-12T16:36:56.999895
FirstFit,Medium,1,0.7328,0.5563,4620.00,0,1.14,1,100,100,2025-09-12T16:36:58.2499893
FirstFit,Medium,2,0.7412,0.5742,4620.00,0,1.13,1,100,100,2025-09-12T16:36:59.4992524
FirstFit,Medium,3,0.7358,0.5750,4620.00,0,1.13,1,100,100,2025-09-12T16:37:00.7396688
FirstFit,Medium,4,0.7403,0.5688,4620.00,0,1.12,1,100,100,2025-09-12T16:37:01.9730413
FirstFit,Medium,5,0.7417,0.5602,4620.00,0,1.11,1,100,100,2025-09-12T16:37:03.1859595
FirstFit,Medium,6,0.7287,0.5430,4620.00,0,1.11,1,100,100,2025-09-12T16:37:04.4021444
FirstFit,Medium,7,0.7315,0.5617,4620.00,0,1.17,1,100,100,2025-09-12T16:37:05.6808618
FirstFit,Medium,8,0.7256,0.5570,4620.00,0,1.14,1,100,100,2025-09-12T16:37:06.9197406
FirstFit,Medium,9,0.7468,0.5695,4620.00,0,1.14,1,100,100,2025-09-12T16:37:08.1702006
GA,Medium,0,0.7328,0.5563,4620.00,0,1.14,21,100,100,2025-09-12T16:37:09.4157495
GA,Medium,1,0.7328,0.5563,4620.00,0,1.13,12,100,100,2025-09-12T16:37:10.6534926
GA,Medium,2,0.7411,0.5742,4620.00,0,1.13,25,100,100,2025-09-12T16:37:11.8859684
GA,Medium,3,0.7358,0.5750,4620.00,0,1.09,19,100,100,2025-09-12T16:37:13.0994439
GA,Medium,4,0.7403,0.5688,4620.00,0,1.13,25,100,100,2025-09-12T16:37:14.3326718
GA,Medium,5,0.7417,0.5602,4620.00,0,1.11,28,100,100,2025-09-12T16:37:15.5528134
GA,Medium,6,0.7317,0.5461,4620.00,0,1.13,14,100,100,2025-09-12T16:37:16.7999204
GA,Medium,7,0.7315,0.5617,4620.00,0,1.13,27,100,100,2025-09-12T16:37:18.048101
GA,Medium,8,0.7268,0.5570,4620.00,0,1.13,10,100,100,2025-09-12T16:37:19.2921375
GA,Medium,9,0.7468,0.5695,4620.00,0,1.12,26,100,100,2025-09-12T16:37:20.5187583
