Algorithm,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,TotalVMs,SuccessRate
HO,Micro,0.3157,0.2277,980.00,0.1497,10,100.00
HO,Small,0.6084,0.4650,2310.00,61.0300,50,100.00
HO,Medium,0.6248,0.4751,4620.00,1.1279,100,100.00
FirstFit,Micro,0.3930,0.2766,980.00,0.0647,10,100.00
FirstFit,Small,0.7522,0.5653,2310.00,0.6013,50,100.00
FirstFit,Medium,0.7357,0.5622,4620.00,1.1323,100,100.00
GA,Micro,0.4178,0.2891,980.00,0.0643,10,100.00
GA,Small,0.7520,0.5652,2310.00,0.6136,50,100.00
GA,Medium,0.7361,0.5625,4620.00,1.1250,100,100.00
